,centroid,clusters
1207,relative concept,"basic concept, intuitive context, multiple misconceptions, relative concept, relatively recent, universe concept, well-defined concept"
1208,relativity principle,"relativity principle, relativityprinciple"
1209,relativizednegative massphysical,relativizednegative massphysical
1210,remain uncompensated,"produce uncompensated, remain uncompensated, repulsion uncompensated"
1211,repel ordinary,"govern ordinary, misinterpret ordinary, prevent ordinary, relates ordinary, repel ordinary"
1212,report emerged,"report based, report dealing, report emerged, report started, results emerged"
1213,repulsion antigravityperpetual,"antigravityperpetual, repulsion antigravitynegative, repulsion antigravityperpetual"
1214,repulsion weaknessmatter,"repulsion antimatter, repulsion weakness, repulsion weaknessmatter, repulsion weaknessquantum"
1215,repulsionparticle acceleratorquantum,repulsionparticle acceleratorquantum
1216,required compensation,"related compensating, required compensation, required conservation, required explanation"
1217,required meeting,"require giving, required abandoning, required despite, required experiments, required meeting, required relational, requires inertial, requires placing, requires relying"
1218,requirement imposed,"requirement exists, requirement expressed, requirement identified, requirement imposed, requirements imposed"
1219,requirements concerning,"requirement concerning, requirements arising, requirements concerning"
1220,requires considering,"involves considering, require reconsidering, requires considering, requires introducing"
1221,restriction imposed,"precondition imposed, restrict allowed, restriction applying, restriction becomes, restriction forbids, restriction imposed, restrictions imposed"
1222,resulting effect,"dragging effect, presumed effect, resultant effect, resulting effect"
1223,reversal introduces,"generally introduced, properly introduced, reversal introduces"
1224,reversal transformations,"discrete transformations, original transformation, reversal transformations, reversing transformation"
1225,reversalsdiscrete,"energiesdiscrete, intervalsdiscrete, reversal Pdiscrete, reversal Tdiscrete, reversaldiscrete, reversalsdiscrete, reverse space-related, reversing discrete, universediscrete"
1226,reversed non-gravitational,"external non-gravitational, opposite non-gravitational, overdense shellgravitational, repulsive non-gravitational, reversed gravitational, reversed non-gravitational, specific non-gravitational, unchanged non-gravitational"
1227,revised definitions,"introduced definition, original definitions, precise definitions, proposed definition, revised definitions"
1228,routinely observe,"motionless observer, rotating observer, routinely observe, routinely observed"
1229,satisfactory solution,"satisfactory answers, satisfactory explanation, satisfactory independent, satisfactory solution, unsatisfactory categorical"
1230,scale characteristic,"defining characteristics, detailed characteristics, distance characteristic, key characteristic, scale characteristic"
1231,scale provided,"enable progress, example provided, factor provided, framework provided, heat provided, scale provided, surfaces provided"
1232,scalequantum chromodynamicsquarkmeson,scalequantum chromodynamicsquarkmeson
1233,section concerning,"action Concerning, assumption concerning, century concerning, conclusion concerning, conclusions concerning, limitation concerning, observations concerning, remain concerning, section concerning, significant concerning, specialists concerning, unequivocal concerning"
1234,seeblack,"areablack, beamblack, fieldblack, holeblack, levelsblack, scaleblack, seeblack, seespace, spaceblack, stateblack, timeblack, wormholeblack"
1235,semi-classical viewpoint,"semi-classical analysis, semi-classical perspective, semi-classical standpoint, semi-classical theories, semi-classical viewpoint, semi-classical viewpointdiscrete"
1236,serious inconsistency,"affects consistency, logical inconsistency, serious inconsistencies, serious inconsistency"
1237,setting,"emitting, fluctuating, getting, getting rid, letting, meeting, permitting, seeking, setting, settle, settled, shifting, showing, speculating, splitting, tempting, testing"
1238,sign invariant,"Lorentz invariant, action invariant, remain invariant, sign interact, sign interacts, sign invariance, sign invariant, solve important, unique invariant"
1239,sign relative,"non-relative, sign collide, sign ofnegative, sign relative, sign shifting, signnegative, signs relative, signsnegative, spin relative, system relative, ways relative"
1240,significant rate,"significance despite, significant change, significant changes, significant concept, significant degrees, significant insights, significant level, significant measure, significant merely, significant outcome, significant parameter, significant properties, significant property, significant rate, significant regarding, significant result, significant results, significant rules, significant scale, significant void"
