,centroid,clusters
1743,magnetic radii,"magnetic dipoles, magnetic momentMagnetic, magnetic radii"
1744,magnetic susceptibilityMagnetic,"Magnetic susceptibility, magnetic susceptibilityMagnetic, susceptibilityMagnetic"
1745,magneticPolarizability,"magnetic polarizabilities, magneticPolarizability, magneticPolarizability magnetic"
1746,magnetization densityNuclear,"magnetization density, magnetization densityNuclear"
1747,mean-square-radiusNuclear,"mean-square radiusNuclear, mean-square-radiusNuclear, mean-square-radiusNuclear radii"
1748,modificationsd-polPolarizability,"logarithmic modificationsd-polPolarizability, modificationsd-polPolarizability, modificationsd-polPolarizability logarithmic"
1749,molecular determination,"accurate determination, molecular applications, molecular determination, older determinationsHMW"
1750,momentszemachHyperfine,momentszemachHyperfine
1751,ner,"Amer, Baer, Behr, Energy, GeV, Geer, Ker, MeV, Ser, Teor, der, energy, key, ncr, ner, nez, per"
1752,nevertheless significant,"nevertheless appropriate, nevertheless significant, nevertheless sufficiently, numerical significance"
1753,non-nuclear properties,"non-nuclear properties, non-nucleonic processes, nuclear properties"
1754,non-relativistic type,"non-relativistic, non-relativistic energy, non-relativistic finite-size, non-relativistic type, relativistic type"
1755,nuclear current,"Nuclear current, convection current, currentsNuclear current, nuclear current, nuclear currents, nuclear measurement, nuclear output"
1756,nuclear mechanism,"Uehling mechanism, latter mechanism, nuclear mechanism, nuclear mechanisms, nuclear techniques, nuclear-structure mechanism"
1757,nuclear quadrupole,"Nuclear quadrupole, momentNuclear quadrupole, nuclear quadrupole, nuclear quadrupole-moment, splitting quadrupole"
1758,nuclear size,"decreasing size, nuclear mass, nuclear size, nuclear spin, nuclear wave, nuclearity, nucleus using"
1759,nuclear structure,"important nuclear-structure, nuclear structure, nuclear-structure, relevant structures"
1760,one-photon,"Satake--Thurston, crossed-photon, one-photon, one-to-one, sine-Gordon, two-photon"
1761,one-pion-exchange,"One-Pion-Exchange, one-photon exchange, one-pion-exchange, three-pion-exchange, two-photon exchange, two-pion-exchange"
1762,phenomenologyNuclear phenomenology,phenomenologyNuclear phenomenology
1763,physics enters,"physicist needs, physics calculates, physics community, physics enters, physics input, physics knowledge, physics purposes, physics requires, physics unique, physicshenry"
1764,polarizabilitiesho-polPolarizability generalized,polarizabilitiesho-polPolarizability generalized
1765,polarizabilityPolarizability spin-dependent,polarizabilityPolarizability spin-dependent
1766,polarizationVacuum polarization,polarizationVacuum polarization
1767,produces longer-range,"produces longer-range, produces shorter-range"
1768,proof,proof
1769,proton's intrinsic,"proton's intrinsic, protons' intrinsic"
1770,quadrupole-hyperfine splittingHyperfine,quadrupole-hyperfine splittingHyperfine
1771,quadrupole-moment,"quadrupole momentNuclear, quadrupole-hyperfine, quadrupole-moment, quadrupole-moment tensor"
1772,radii deuterium,"analyzing deuterium, radii deuterium, radii magnetic, radii neutron, splitting deuterium"
1773,recent values,"frequently happens, lowest values, precise value, recent values, seven values, takes values"
1774,relativistic corrections,"relativistic corrections, relativistic treatment"
1775,requires relativity,"require relativity, requires nontrivial, requires relativity"
1776,right-most,"Wright Wright, left-most, right-most, right-most column"
1777,root-mean-square,"Cartesian square, overall mean-square, proton mean-square, root-mean-square, root-mean-square charge, zero idealsquare"
1778,ruleGDHGerasimov-Drell-Hearn,"ruleGDHGerasimov-Drell-Hearn, ruleGDHGerasimov-Drell-Hearn sum, sum ruleGDHGerasimov-Drell-Hearn"
1779,scatteringElectron-nucleus,"corrections Electron-nucleus, experimentsElectron-nucleus, scattering anglesElectron-nucleus, scattering experimentsElectron-nucleus, scatteringElectron-nucleus"
1780,second-order partial-differential,second-order partial-differential
1781,setting,"Denoting, Letting, inserting, letting, meeting, putting, scattering, setting, settings, testing"
1782,short-range interaction,"dominant interaction, hyperfine interaction, short-range contribution, short-range interaction, short-range interactionNuclear, short-range interactions, short-range-interaction, short-range-interaction terms"
1783,significant figures,"significant digits, significant distortions, significant figure, significant figures, significant figuresreview, significant regions"
1784,simplified,"formula simplifies, greatly simplified, oversimplified, simplicial, simplicity, simplified, simplified model, simplifies, simply inherit"
1785,simply related,"closely related, commonly denoted, priori unrelated, simply defined, simply formulated, simply related"
1786,single lines,"dashed lines, double lines, shaded lines, single lines, single pion, singletons, solid lines, wiggly lines"
1787,sixth significant,"eighth significant, indicate significant, influence significant, sixth significant, tenth significant"
1788,small-quark-mass symmetry,"small-pion-mass symmetry, small-quark-mass, small-quark-mass symmetry"
1789,spin-dependent polarizabilitiesHyperfine,"spin-dependent polarizabilitiesHyperfine, spin-dependent polarizability, spin-dependent polarizabilityPolarizability"
1790,splittingHyperfine splitting,"deuteriumHyperfine splitting, deuteriumd-nuHyperfine splitting, polarizabilitiesHyperfine splitting, splittingHyperfine splitting"
1791,strong-interaction coupling,"strong-interaction contributions, strong-interaction coupling, strong-interaction mechanisms"
1792,structure constant,"fine-structure constant, structure constant, structures considered, structures currently"
1793,subset,subset
1794,surrogate,"surrogate, surrogate theory, surrogate works, surrounded"
1795,susceptibilityMagnetic susceptibility,susceptibilityMagnetic susceptibility
1796,ten-nucleon,"five-nucleon, non-nuclear, non-nucleonic, nucleon-nucleon, point-nucleon, six-nucleon, ten-nucleon, three-nucleon, trinucleon, two-nucleon"
1797,test,"KeSt, Sect, latest, meet, test, tested, tests, text, trust"
1798,theoretical radius,"Theoretical values, monoid-theoretical axioms, theoretical prediction, theoretical radius, theoretical results"
1799,treating reduced-mass,treating reduced-mass
1800,two-pion-exchange potential,"One-Pion-Exchange Potential, three-pion-exchange interaction, two-pion exchangeNuclear, two-pion-exchange potential"
1801,uncertain,"Sur certains, somewhat uncertain, uncertain, uncertainties, uncertainty, undertaken, undertakenANL"
1802,unrealistically,"results typically, unrealistically, unrealistically low"
1803,useful measurement,"desirable measurements, molecular measurement, resulting measurement, useful measurement, valuable measurement"
1804,using data,"KadRing Sakai, choosing data, gluing data, remaining data, using Banach, using Lemma, using QED, using additive, using data"
1805,various mechanisms,"physics mechanisms, various mechanisms, various situations"
1806,virtual-excitation,"average virtual-excitation, virtual-excitation, virtual-excitation energy"
1807,singularities,"Nonsingular Rings, Singularity-based, singular curves, singular locus, singular points, singular spaces, singularities, singularities"", singularity-based"
1808,integrability,"Integrability, integrability, integrability elements, integrality, mere integrability"
1809,integrable,"Integrable, Linearizable, finitestably, integrable, integral Segur, integrals, integrate, intractable, nonintegrable, undesirable, untractable"
1810,Laurent series,"Laurent series, MOS-SIAM Series, converging series"
1811,critical singularities,"Fuchsian singularities, critical singularities, critical singularities"", critical singularity"
1812,equivalent,equivalent
1813,results,results
1814,valued,"B-valued, C-valued, C-valued names, Values, glued, vacuum, valid, value, value deduced, valued, valuedness, values"
1815,BureauMII,"BureauMI, BureauMII, BureauMIII, fourth BureauMII"
1816,ChazyThese,"Chazy ChazyThese, ChazyThese, ChazyThese explain, ODEs ChazyThese, heavy-meson"
1817,Fuchs indices,"Fuchs index, Fuchs indices, Fuchssteiner, functor induces"
1818,Fuchsian perturbative,"Fuchsian perturbative, nonFuchsian perturbative"
1819,Liouville,"Gainesville, Joseph Liouville, Liouville, Liouville PDE"
1820,possesses,"ODE possesses, PDE possesses, pion masses, possess, possesses"
1821,singular manifold,"methodsingular manifold, singular behaviour, singular manifold, variablesingular manifold"
1822,truemm,"truecm, truemm, truemm'"
1823,arbitrary complex,"arbitrary according, arbitrary change, arbitrary closed, arbitrary complete, arbitrary complex, arbitrary constants, arbitrary families, arbitrary homography, arbitrary modules, arbitrary movable, arbitrary suprema"
1824,continuum limit,continuum limit
1825,exists,exists
1826,linearized,"linearizable, linearized, linearizing, polarized"
1827,movable singularities,"Movable singularities, movable logarithms, movable singularities, movablesingularity, movablesingularity fixed"
1828,nonFuchsian,"Fuchsian, non-noetherian, nonFuchsian, nonFuchsian type"
1829,single valued,"Singlevalued, finite-valued, scale viewed, single scalar, single valued, single valuedness, singlevalued"
1830,CetraroConte,"CetraroConte, CetraroMusette, school CetraroConte"
1831,GambierThese,"Gambier GambierThese, Gambier test, GambierThese, GarnierThese, system GarnierThese"
1832,algebraic,algebraic
1833,algebraic,algebraic
1834,generated,generated
1835,homographic group,"homographic dependence, homographic group, homographic transform, homomorphism group"
1836,independent variable,"dependent variable, independent invariants, independent pairwise, independent solutions, independent variable, independent variables, spin-dependent coupling"
1837,mKdV,"KdV, mKdV, p-mKdV"
1838,manifold method,"manifold equation, manifold method, powerful method"
1839,multivaluedness,"contain multivaluedness, detect multivaluedness, multivaluedness, multivaluedness takes, mutatis mutandis"
1840,noncharacteristic,"characteristic, noncharacteristic, noncharacteristic manifold, noncharacteristic reduction, noncharacteristic yields, reduction noncharacteristic"
1841,particular solution,"particular solution, particular solutions, singular solution"
1842,result,result
1843,DarbouxSurfaces,"Darboux-Halphen, DarbouxSurfaces, XII DarbouxSurfaces"
1844,KudryashovKSFourb,"KudryashovElliptic, KudryashovKSFourb, finds KudryashovKSFourb"
1845,Kundu-Eckhaus,"Kundu-Eckhaus, Kundu-Eckhaus PDE"
1846,Kuramoto-Sivashinsky,"Kuramoto-Sivashinsky, Kuramoto-Sivashinsky equation, chaotic Kuramoto-Sivashinsky, equation Kuramoto-Sivashinsky"
1847,Matematicheskaya,"Matematicheskaya, Matematicheskaya Fizika, Matematicheskoye, Teoreticheskaya"
1848,Riccati variable,"Riccati variable, Riccati variables, expansion variable, field variable, inherit variable"
1849,birational transformation,"birational transformation, birational transformations, linearizing transformation"
1850,closed,closed
1851,difference equations,"Linearizable equations, degree equations, determining equations, difference equations, difference function, difference functions, differencecabszzmsms, differential equations, discrete equations, q-difference equations"
1852,exist,exist
1853,generates,generates
1854,hodograph,"Mono- graphs, Monographs, ThomasPaTh, hodograph, homographic, homography, monograph, paragraph"
1855,linear ODE,"ExtonRM ODEs, linear ODE, linear ODEs, linear map, nonlinear ODEs"
